Row,allPara1,allPara2,allPara3,allPara4,allPara5,allPara6,allPara7,allPara8,allPara9,allPara10,allPara11,allPara12,allPara13,allPara14,allPara15,allPara16,allPara17,allPara18,allPara19,allPara20,allPara21,allPara22,allPara23,allPara24,allPara25,allPara26,allPara27,allPara28,allPara29,allPara30,allPara31,allPara32,allPara33,allPara34,allPara35,allPara36,allPara37,allPara38,allPara39,allPara40,allPara41,allPara42,allPara43,allPara44,allPara45,allPara46,allPara47,allPara48,allPara49,allPara50,allPara51,allPara52,allPara53,allPara54,allPara55,allPara56,allPara57,allPara58,allPara59,allPara60,allPara61,allPara62,allPara63,allPara64,allPara65,allPara66,allPara67,allPara68,allPara69,allPara70,allPara71,allPara72,allPara73,allPara74,allPara75,allPara76,allPara77,allPara78,allPara79,allPara80,allPara81,allPara82,allPara83,allPara84,allPara85,allPara86,allPara87,allPara88,allPara89,allPara90,allPara91,allPara92,allPara93,allPara94,allPara95,allPara96,allPara97,allPara98,allPara99,allPara100,allPara101,allPara102,allPara103,allPara104,allPara105,allPara106,allPara107,allPara108,allPara109,allPara110,allPara111,allPara112,allPara113,allPara114,allPara115,allPara116,allPara117,allPara118,allPara119,allPara120,allPara121,allPara122,allPara123,allPara124,allPara125,allPara126,allPara127,allPara128,allPara129,allPara130,allPara131,allPara132,allPara133,allPara134,allPara135,allPara136,allPara137,allPara138,allPara139,allPara140,allPara141,allPara142,allPara143,allPara144,allPara145,allPara146,allPara147,allPara148,allPara149,allPara150,allPara151,allPara152,allPara153,allPara154,allPara155,allPara156,allPara157,allPara158,allPara159,allPara160,allPara161,allPara162,allPara163,allPara164,allPara165,allPara166,allPara167,allPara168,allPara169,allPara170,allPara171,allPara172,allPara173,allPara174,allPara175,allPara176,allPara177,allPara178,allPara179,allPara180,allPara181,allPara182,allPara183,allPara184,allPara185,allPara186,allPara187,allPara188,allPara189,allPara190,allPara191,allPara192,allPara193,allPara194,allPara195,allPara196,allPara197,allPara198,allPara199,allPara200,allPara201,allPara202,allPara203,allPara204,allPara205,allPara206,allPara207,allPara208,allPara209,allPara210,allPara211,allPara212,allPara213,allPara214,allPara215,allPara216,allPara217,allPara218,allPara219,allPara220,allPara221,allPara222,allPara223,allPara224,allPara225,allPara226,allPara227,allPara228,allPara229,allPara230,allPara231,allPara232,allPara233,allPara234,allPara235,allPara236,allPara237,allPara238,allPara239,allPara240,allPara241,allPara242,allPara243,allPara244,allPara245,allPara246,allPara247,allPara248,allPara249,allPara250,allPara251,allPara252,allPara253,allPara254,allPara255,allPara256,allPara257,allPara258,allPara259,allPara260,allPara261,allPara262,allPara263,allPara264,allPara265,allPara266,allPara267,allPara268,allPara269,allPara270,allPara271,allPara272,allPara273,allPara274,allPara275,allPara276,allPara277,allPara278,allPara279,allPara280,allPara281,allPara282,allPara283,allPara284,allPara285,allPara286,allPara287,allPara288,allPara289,allPara290,allPara291,allPara292,allPara293,allPara294,allPara295,allPara296,allPara297,allPara298,allPara299,allPara300,allPara301,allPara302,allPara303,allPara304,allPara305,allPara306,allPara307,allPara308,allPara309,allPara310,allPara311,allPara312,allPara313,allPara314,allPara315,allPara316,allPara317,allPara318,allPara319,allPara320,allPara321,allPara322,allPara323,allPara324,allPara325,allPara326,allPara327,allPara328,allPara329,allPara330,allPara331,allPara332,allPara333,allPara334,allPara335,allPara336,allPara337,allPara338,allPara339,allPara340,allPara341,allPara342,allPara343,allPara344,allPara345,allPara346,allPara347,allPara348,allPara349,allPara350,allPara351,allPara352,allPara353,allPara354,allPara355,allPara356,allPara357,allPara358,allPara359,allPara360,allPara361,allPara362,allPara363,allPara364
visual_or_estim,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
RF_x,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.946840903,-0.5,-0.5,-0.5,0.268349688,0.946840903,-0.5,0.949832486,0.268349688,0.268349688,0.268349688,-0.5,0.949832486,-0.5,-0.5,-0.5,0.268349688,0.268349688,-0.5,-0.5,-0.5,-0.5,0.946840903,-0.5,0.946840903,-0.5,0.946840903,0.946840903,-0.5,-0.5,0.949832486,0.268349688,0.268349688,-0.5,0.268349688,-0.5,0.268349688,0.946840903,-0.5,-0.5,-0.5,0.949832486,-0.5,-0.5,-0.5,0.949832486,-0.5,-0.5,-0.5,0.949832486,-0.5,0.946840903,0.268349688,-0.5,-0.5,0.946840903,0.949832486,0.946840903,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.949832486,-0.5,-0.5,0.268349688,-0.5,0.946840903,-0.5,-0.5,-0.5,-0.5,0.268349688,0.949832486,-0.5,-0.5,-0.5,-0.5,0.268349688,0.268349688,0.268349688,0.268349688,-0.5,-0.5,0.949832486,0.946840903,-0.5,-0.5,-0.5,-0.5,0.949832486,0.949832486,0.946840903,-0.5,0.946840903,-0.5,-0.5,0.949832486,-0.5,0.949832486,-0.5,0.949832486,0.946840903,-0.5,0.946840903,-0.5,-0.5,-0.5,0.946840903,-0.5,0.949832486,0.949832486,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.946840903,0.268349688,-0.5,0.268349688,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.268349688,0.949832486,-0.5,-0.5,-0.5,-0.5,0.946840903,-0.5,0.946840903,0.268349688,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.946840903,-0.5,0.268349688,0.268349688,0.946840903,-0.5,-0.5,-0.5,0.946840903,-0.5,0.949832486,0.268349688,-0.5,0.949832486,0.268349688,-0.5,0.949832486,0.949832486,-0.5,-0.5,-0.5,0.949832486,0.946840903,0.268349688,-0.5,-0.5,-0.5,0.949832486,0.268349688,0.949832486,0.946840903,-0.5,0.946840903,0.268349688,0.949832486,-0.5,-0.5,-0.5,-0.5,0.268349688,-0.5,-0.5,-0.5,-0.5,0.268349688,-0.5,-0.5,-0.5,-0.5,0.949832486,0.949832486,-0.5,0.946840903,-0.5,0.268349688,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.946840903,-0.5,-0.5,0.946840903,0.949832486,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.946840903,-0.5,-0.5,-0.5,0.946840903,-0.5,0.946840903,-0.5,-0.5,-0.5,0.946840903,0.268349688,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.949832486,-0.5,0.268349688,-0.5,-0.5,-0.5,-0.5,-0.5,0.268349688,-0.5,0.946840903,0.268349688,-0.5,-0.5,0.268349688,-0.5,-0.5,0.946840903,-0.5,-0.5,-0.5,-0.5,-0.5,0.949832486,0.268349688,0.949832486,-0.5,0.946840903,0.949832486,-0.5,-0.5,0.268349688,-0.5,0.949832486,0.949832486,0.268349688,0.946840903,-0.5,0.946840903,-0.5,-0.5,-0.5,0.946840903,0.946840903,-0.5,0.268349688,0.949832486,-0.5,0.946840903,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.949832486,-0.5,0.946840903,-0.5,-0.5,-0.5,-0.5,0.949832486,-0.5,-0.5,-0.5,0.949832486,0.949832486,-0.5,0.268349688,-0.5,-0.5,0.949832486,0.268349688,-0.5,0.268349688,-0.5,0.949832486,-0.5,-0.5,0.949832486,-0.5,-0.5,0.268349688,0.946840903,-0.5,0.949832486,-0.5,-0.5,-0.5,-0.5,-0.5,0.946840903,0.949832486,0.946840903,0.268349688,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.268349688,0.268349688,-0.5,-0.5
RF_y,-2.03734298,-2.03734298,-3.4441841,-3.4441841,-2.2746,-2.03734298,-2.57809716,-2.03734298,-2.57809716,-2.31653834,-3.65796024,-3.4441841,-2.03734298,-2.91765361,-2.31653834,-3.4441841,-0.347282724,-2.91765361,-2.91765361,-2.91765361,-3.4441841,-0.347282724,-3.65796024,-3.65796024,-2.03734298,-2.91765361,-2.91765361,-2.57809716,-2.2746,-3.65796024,-2.57809716,-2.31653834,-2.57809716,-2.31653834,-3.65796024,-2.31653834,-2.31653834,-2.57809716,-3.4441841,-0.347282724,-2.91765361,-2.91765361,-3.65796024,-2.91765361,-2.57809716,-2.91765361,-2.31653834,-2.57809716,-2.03734298,-3.65796024,-0.347282724,-3.65796024,-3.4441841,-3.65796024,-0.347282724,-3.65796024,-3.4441841,-2.03734298,-0.347282724,-2.2746,-2.31653834,-2.91765361,-3.4441841,-3.4441841,-2.31653834,-0.347282724,-2.31653834,-3.4441841,-3.65796024,-3.65796024,-2.2746,-2.57809716,-2.03734298,-0.347282724,-3.65796024,-3.65796024,-2.91765361,-2.03734298,-2.31653834,-2.03734298,-2.03734298,-2.2746,-2.57809716,-2.91765361,-0.347282724,-2.2746,-2.03734298,-3.4441841,-2.57809716,-2.91765361,-2.91765361,-2.91765361,-2.91765361,-3.4441841,-3.65796024,-0.347282724,-2.31653834,-3.65796024,-2.2746,-2.2746,-3.65796024,-0.347282724,-0.347282724,-2.31653834,-2.57809716,-2.31653834,-2.57809716,-2.03734298,-0.347282724,-3.65796024,-0.347282724,-3.4441841,-0.347282724,-2.31653834,-2.57809716,-2.31653834,-2.03734298,-2.2746,-3.4441841,-2.31653834,-3.65796024,-0.347282724,-0.347282724,-3.65796024,-3.65796024,-2.2746,-2.2746,-2.2746,-2.2746,-2.31653834,-2.91765361,-3.65796024,-2.91765361,-3.4441841,-2.03734298,-2.57809716,-3.4441841,-3.65796024,-2.57809716,-2.91765361,-0.347282724,-3.65796024,-2.03734298,-2.03734298,-2.03734298,-2.31653834,-2.2746,-2.31653834,-2.91765361,-2.2746,-3.65796024,-2.2746,-2.03734298,-2.03734298,-3.4441841,-3.65796024,-2.2746,-2.03734298,-2.03734298,-2.31653834,-2.03734298,-2.91765361,-2.91765361,-2.31653834,-2.57809716,-2.57809716,-2.03734298,-2.31653834,-2.2746,-0.347282724,-2.91765361,-2.2746,-0.347282724,-2.91765361,-2.2746,-0.347282724,-0.347282724,-3.65796024,-2.03734298,-3.65796024,-0.347282724,-2.31653834,-2.91765361,-2.57809716,-3.65796024,-3.4441841,-0.347282724,-2.91765361,-0.347282724,-2.31653834,-3.65796024,-2.31653834,-2.91765361,-0.347282724,-3.4441841,-2.2746,-2.2746,-3.4441841,-2.91765361,-2.2746,-2.57809716,-2.2746,-2.57809716,-2.91765361,-2.03734298,-2.57809716,-2.57809716,-2.57809716,-0.347282724,-0.347282724,-2.2746,-2.31653834,-2.2746,-2.91765361,-3.4441841,-3.4441841,-2.03734298,-3.65796024,-3.4441841,-3.65796024,-3.4441841,-3.4441841,-3.65796024,-2.31653834,-3.4441841,-2.57809716,-2.31653834,-0.347282724,-3.4441841,-2.2746,-2.57809716,-2.2746,-2.57809716,-2.2746,-3.4441841,-2.57809716,-2.31653834,-3.65796024,-2.57809716,-2.03734298,-2.31653834,-3.4441841,-2.31653834,-2.2746,-2.57809716,-2.2746,-2.31653834,-2.91765361,-2.57809716,-2.57809716,-3.65796024,-3.4441841,-2.2746,-2.03734298,-0.347282724,-3.4441841,-2.91765361,-3.65796024,-3.65796024,-2.57809716,-2.03734298,-2.03734298,-2.91765361,-3.4441841,-2.31653834,-2.91765361,-3.65796024,-2.2746,-2.91765361,-2.03734298,-3.65796024,-2.31653834,-2.57809716,-2.2746,-2.03734298,-3.4441841,-2.57809716,-0.347282724,-2.91765361,-0.347282724,-2.03734298,-2.31653834,-0.347282724,-2.2746,-3.4441841,-2.91765361,-3.4441841,-0.347282724,-0.347282724,-2.91765361,-2.31653834,-2.2746,-2.31653834,-2.57809716,-2.2746,-2.03734298,-2.31653834,-2.31653834,-2.57809716,-2.91765361,-0.347282724,-2.2746,-2.31653834,-3.65796024,-2.03734298,-3.65796024,-2.2746,-3.65796024,-2.57809716,-2.2746,-2.03734298,-3.4441841,-2.57809716,-0.347282724,-2.2746,-2.31653834,-2.57809716,-3.4441841,-2.03734298,-2.03734298,-0.347282724,-3.4441841,-2.2746,-3.4441841,-0.347282724,-0.347282724,-2.2746,-2.91765361,-3.65796024,-3.65796024,-0.347282724,-2.91765361,-2.03734298,-2.91765361,-2.03734298,-0.347282724,-2.57809716,-3.4441841,-0.347282724,-2.57809716,-2.57809716,-2.91765361,-2.31653834,-2.03734298,-0.347282724,-2.57809716,-2.03734298,-3.4441841,-2.2746,-2.57809716,-2.31653834,-0.347282724,-2.31653834,-2.91765361,-2.2746,-3.4441841,-3.4441841,-3.4441841,-3.65796024,-2.03734298,-2.91765361,-2.91765361,-2.2746,-2.2746
RFsize,6.18884459,6.18884459,8,8,5.67481941,6.18884459,7.66015062,6.18884459,7.66015062,5.01402641,8,8,6.18884459,5.4586427,5.01402641,8,5.84023197,5.4586427,5.4586427,5.4586427,8,5.84023197,8,8,6.18884459,5.4586427,5.4586427,7.66015062,5.67481941,8,7.66015062,5.01402641,7.66015062,5.01402641,8,5.01402641,5.01402641,7.66015062,8,5.84023197,5.4586427,5.4586427,8,5.4586427,7.66015062,5.4586427,5.01402641,7.66015062,6.18884459,8,5.84023197,8,8,8,5.84023197,8,8,6.18884459,5.84023197,5.67481941,5.01402641,5.4586427,8,8,5.01402641,5.84023197,5.01402641,8,8,8,5.67481941,7.66015062,6.18884459,5.84023197,8,8,5.4586427,6.18884459,5.01402641,6.18884459,6.18884459,5.67481941,7.66015062,5.4586427,5.84023197,5.67481941,6.18884459,8,7.66015062,5.4586427,5.4586427,5.4586427,5.4586427,8,8,5.84023197,5.01402641,8,5.67481941,5.67481941,8,5.84023197,5.84023197,5.01402641,7.66015062,5.01402641,7.66015062,6.18884459,5.84023197,8,5.84023197,8,5.84023197,5.01402641,7.66015062,5.01402641,6.18884459,5.67481941,8,5.01402641,8,5.84023197,5.84023197,8,8,5.67481941,5.67481941,5.67481941,5.67481941,5.01402641,5.4586427,8,5.4586427,8,6.18884459,7.66015062,8,8,7.66015062,5.4586427,5.84023197,8,6.18884459,6.18884459,6.18884459,5.01402641,5.67481941,5.01402641,5.4586427,5.67481941,8,5.67481941,6.18884459,6.18884459,8,8,5.67481941,6.18884459,6.18884459,5.01402641,6.18884459,5.4586427,5.4586427,5.01402641,7.66015062,7.66015062,6.18884459,5.01402641,5.67481941,5.84023197,5.4586427,5.67481941,5.84023197,5.4586427,5.67481941,5.84023197,5.84023197,8,6.18884459,8,5.84023197,5.01402641,5.4586427,7.66015062,8,8,5.84023197,5.4586427,5.84023197,5.01402641,8,5.01402641,5.4586427,5.84023197,8,5.67481941,5.67481941,8,5.4586427,5.67481941,7.66015062,5.67481941,7.66015062,5.4586427,6.18884459,7.66015062,7.66015062,7.66015062,5.84023197,5.84023197,5.67481941,5.01402641,5.67481941,5.4586427,8,8,6.18884459,8,8,8,8,8,8,5.01402641,8,7.66015062,5.01402641,5.84023197,8,5.67481941,7.66015062,5.67481941,7.66015062,5.67481941,8,7.66015062,5.01402641,8,7.66015062,6.18884459,5.01402641,8,5.01402641,5.67481941,7.66015062,5.67481941,5.01402641,5.4586427,7.66015062,7.66015062,8,8,5.67481941,6.18884459,5.84023197,8,5.4586427,8,8,7.66015062,6.18884459,6.18884459,5.4586427,8,5.01402641,5.4586427,8,5.67481941,5.4586427,6.18884459,8,5.01402641,7.66015062,5.67481941,6.18884459,8,7.66015062,5.84023197,5.4586427,5.84023197,6.18884459,5.01402641,5.84023197,5.67481941,8,5.4586427,8,5.84023197,5.84023197,5.4586427,5.01402641,5.67481941,5.01402641,7.66015062,5.67481941,6.18884459,5.01402641,5.01402641,7.66015062,5.4586427,5.84023197,5.67481941,5.01402641,8,6.18884459,8,5.67481941,8,7.66015062,5.67481941,6.18884459,8,7.66015062,5.84023197,5.67481941,5.01402641,7.66015062,8,6.18884459,6.18884459,5.84023197,8,5.67481941,8,5.84023197,5.84023197,5.67481941,5.4586427,8,8,5.84023197,5.4586427,6.18884459,5.4586427,6.18884459,5.84023197,7.66015062,8,5.84023197,7.66015062,7.66015062,5.4586427,5.01402641,6.18884459,5.84023197,7.66015062,6.18884459,8,5.67481941,7.66015062,5.01402641,5.84023197,5.01402641,5.4586427,5.67481941,8,8,8,8,6.18884459,5.4586427,5.4586427,5.67481941,5.67481941
microPreStimT,1,1,300,300,300,300,300,300,300,1,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,1,300,300,1,300,300,300,300,1,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,1,300,300,300,300,1,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,1,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,1,300,1,300,300,300,300,300,300,300,1,1,1,300,300,300,300,300,1,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,1,300,300,300,300,1,1,1,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,1,1,1,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
microStimT,0.5,0.5,200,200,200,200,200,200,200,0.5,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,0.5,200,200,0.5,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,0.5,200,200,200,200,0.5,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,0.5,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,0.5,200,0.5,200,200,200,200,200,200,200,0.5,0.5,0.5,200,200,200,200,200,0.5,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,0.5,200,200,200,200,0.5,0.5,0.5,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,0.5,0.5,0.5,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0.5,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
microPostStimT,-12.8933385,-12.8933385,200,200,200,200,200,200,200,24.4158806,200,200,200,6.91984674,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,24.4930235,200,200,200,200,200,200,24.4158806,200,200,-12.8933385,200,200,200,200,24.4930235,200,200,200,200,200,200,200,200,200,24.4158806,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,-12.8933385,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,-12.8933385,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,24.4930235,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,6.91984674,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,24.4930235,200,200,200,200,200,200,200,200,24.4158806,200,-12.8933385,200,200,200,200,200,200,200,24.4158806,6.91984674,-12.8933385,200,200,200,200,200,24.4930235,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,6.91984674,200,200,200,200,-12.8933385,-12.8933385,6.91984674,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,-12.8933385,-12.8933385,-12.8933385,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-12.8933385,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
